1,Livio Eschler
20,Tim Schneider
12,Severin Maibach(C)
6,Marcel Jakob
16,Nico Baumgartner
18,Joel Tanner
4,Agan Vladi
11,Michael Ma
7,Marco Gurtner
9,Veron Redzepi
10,David Leu
22,Cedric Schwalm
